Date,daily_strat,daily_bah,equity_strat,equity_bah,signal
2022-01-18,-0.011930533809924038,-0.011930533809924038,1.970407523980158,5.630687557327641,1.0
2022-01-19,-7.925612014159089e-05,-7.925612014159089e-05,1.9702513571247096,5.630241290878118,1.0
2022-01-20,-0.017508692266117398,-0.017508692266117398,1.9357548324259128,5.531663128732145,1.0
2022-01-21,0.0001613498288446369,0.0001613498288446369,1.9360671661368098,5.532555661631192,1.0
2022-01-24,-0.04033744607968548,-0.04033744607968548,1.8579711612161167,5.309386495947285,1.0
2022-01-25,-0.001955430137655201,-0.001955430137655201,1.8543380284125806,5.29900436158065,1.0
2022-01-27,-0.014811007358986439,-0.014811007358986439,1.8268734142277134,5.220520768985978,1.0
2022-01-28,-0.0009622302261459437,-0.0009622302261459437,1.825115541409201,5.215497426105837,1.0
2022-01-31,0.021726621448286743,0.021726621448286743,1.8647691358767837,5.328812564347352,1.0
2022-02-01,-0.0033101568769529077,-0.0033101568769529077,1.8585964574977316,5.311173358791485,1.0
2022-02-02,0.002038796342099136,0.002038796342099136,1.8623857571567164,5.322001759607643,1.0
2022-02-03,-0.012921934546618608,-0.012921934546618608,1.8383201303021826,5.253231201213004,1.0
2022-02-04,-0.00911687948279638,-0.00911687948279638,1.821560387223419,5.205338125456279,1.0
2022-02-07,-0.0060910324535916605,-0.0060910324535916605,1.8104652037886642,5.173632242002207,1.0
2022-02-08,0.01680986243434268,0.01680986243434268,1.8408988748065158,5.2606002882761445,1.0
2022-02-09,0.01165077198690656,0.01165077198690656,1.8623467678478394,5.321890342749104,1.0
2022-02-10,-0.001027756864084295,-0.001027756864084295,1.8604327281738786,5.31642073341944,1.0
2022-02-11,-0.001952955550853397,-0.001952955550853397,1.8567993857504022,5.306038000037436,1.0
2022-02-14,-0.015927417829870727,-0.015927417829870727,1.8272253661073081,5.221526515789668,1.0
2022-02-15,0.03395252114611602,0.03395252114611602,1.8892642739887862,5.398810505232022,1.0
2022-02-16,-0.0020678350187866013,-0.0020678350187866013,1.8853575871632897,5.38764665580951,1.0
2022-02-17,0.01266086668799149,0.01266086668799149,1.9092278482335574,5.455858931880718,1.0
2022-02-18,-0.007816606088353772,-0.007816606088353772,1.8943041662110005,5.413212631736579,1.0
2022-02-21,-0.010105621969422773,-0.010105621969422773,1.8751610444121696,5.358508751240145,1.0
2022-02-22,-0.004542046036857705,-0.004542046036857705,1.8666439766219274,5.334170157803108,1.0
2022-02-23,-0.006257792762791037,-0.006257792762791037,1.8549629054543153,5.300790026394112,1.0
2022-02-24,-0.04983042481262656,-0.04983042481262656,1.7625293158638626,5.036649407536359,1.0
2022-02-25,0.012501584759855078,0.012501584759855078,1.7845637254978641,5.099615507010348,1.0
2022-02-28,0.03310044365718223,0.03310044365718223,1.8436335765463574,5.268415042773437,1.0
2022-03-02,0.01652847458108897,0.01652847458108897,1.874106027253146,5.355493906890545,1.0
2022-03-03,-0.008442485567074276,-0.008442485567074276,1.8582839141668943,5.310280226877067,1.0
2022-03-04,-0.022179770705407664,-0.022179770705407664,1.8170676030451252,5.192499429063473,1.0
2022-03-07,-0.036980450005081655,-0.036980450005081655,1.7498716253948614,5.000478463525576,1.0
2022-03-08,-0.0018083741523245989,-0.0018083741523245989,1.7467072027776112,4.991435727522881,1.0
2022-03-09,0.05305293556712609,0.05305293556712609,1.8393751474612068,5.256246045562603,1.0
2022-03-10,0.0162057070181576,0.0162057070181576,1.8691835221974435,5.34142722899234,1.0
2022-03-11,0.0028842621272686664,0.0028842621272686664,1.8745747374394324,5.356833305254485,1.0
2022-03-14,0.008211250008526516,0.008211250008526516,1.8899673392682155,5.400819602777931,1.0
